raw_location,location_id,location_name
ONE-EYED JACK'S HALLWAY,7,ONE-EYED JACK'S
ONE-EYED JACK'S - BLACKIE'S OFFICE,7,ONE-EYED JACK'S
PALMER HOUSE,8,PALMER HOUSE
PALMER HOUSE BEDROOM,8,PALMER HOUSE
PALMER HOUSE UPSTAIRS HALLWAY,8,PALMER HOUSE
PALMER HOUSE LIVING ROOM,8,PALMER HOUSE
PALMER HOUSE CORRIDOR,8,PALMER HOUSE
PALMER LIVING ROOM,8,PALMER HOUSE
PALMER BEDROOM,8,PALMER HOUSE
LELAND PALMER'S BEDROOM,8,PALMER HOUSE
PALMER'S LIVING ROOM,8,PALMER HOUSE
PALMER'S HOUSE,8,PALMER HOUSE
SHERIFF TRUMAN'S HOUSE,9,SHERIFF STATION
SHERIFF'S CRUISER,9,SHERIFF STATION
SHERIFF'S STATION ENTRANCE,9,SHERIFF STATION
SHERIFFS STATION RECEPTION AREA,9,SHERIFF STATION
INTERROGATION ROOM A,9,SHERIFF STATION
SHERIFF'S STATION INTERROGATION,9,SHERIFF STATION
HOLDING CELL,9,SHERIFF STATION
SHERIFF'S DEPARTMENT RECEPTION AREA,9,SHERIFF STATION
SHERIFF'S STATION WAITING AREA,9,SHERIFF STATION
INTERROGATION ROOM B,9,SHERIFF STATION
TWIN PEAKS SHERIFF STATION,9,SHERIFF STATION
REAR OF SHERIFF STATION,9,SHERIFF STATION
SHERIFFS STATION,9,SHERIFF STATION
SHERIFF STATION CORRIDOR,9,SHERIFF STATION
TWIN PEAKS POLICE STATION,9,SHERIFF STATION
POLICE STATION RECEPTION AREA,9,SHERIFF STATION
SHERIFF'S RECEPTION AREA,9,SHERIFF STATION
SHERIFF'S STATION RECEPTION AREA,9,SHERIFF STATION
INTERROGATION A,9,SHERIFF STATION
SHERIFF'S OFFICE,9,SHERIFF STATION
PRISON CORRIDOR,9,SHERIFF STATION
SHERIFF'S STATION,9,SHERIFF STATION
SHERIFF'S STATION RECEPTION,9,SHERIFF STATION
INTERROGATION ROOM,9,SHERIFF STATION
SHERIFF'S STATION RECEPTION/CONFERENCE ROOM,9,SHERIFF STATION
SHERIFF'S STATION HOLDING CELL AREA,9,SHERIFF STATION
SHERIFF'S STATION CONFERENCE ROOM,9,SHERIFF STATION
SHERIFF TRUMAN'S OFFICE,9,SHERIFF STATION
SHERIFF'S STATION BATHROOM,9,SHERIFF STATION
SHERIFF'S INTERROGATION ROOM,9,SHERIFF STATION
SHERIFF'S STATION HALLWAY,9,SHERIFF STATION
TRUMAN'S OFFICE,9,SHERIFF STATION
JAIL,9,SHERIFF STATION
"SHERIFF'S OFFICE, RECEPTION AREA",9,SHERIFF STATION
INT. SHERIFF'S STATION,9,SHERIFF STATION
INT. INTERROGATION,9,SHERIFF STATION
INT. TRUMAN'S OFFICE,9,SHERIFF STATION
"SHERIFF'S OFFICE, CONFERENCE ROOM",9,SHERIFF STATION
SHERIFF'S CONFERENCE ROOM,9,SHERIFF STATION
"SHERIFF'S STATION, RECEPTION AREA",9,SHERIFF STATION
SHERIFF STATION,9,SHERIFF STATION
"INT. SHERIFF STATION, LUCY'S AREA",9,SHERIFF STATION
SHERIFF'S TRUMAN'S OFFICE,9,SHERIFF STATION
INT. SHERIFF'S STATION HALLWAY,9,SHERIFF STATION
SHERIFF'S STATION - TRUMAN'S OFFICE,9,SHERIFF STATION
"SHERIFF'S STATION, INTERROGATION ROOM",9,SHERIFF STATION
