raw_location,location_id,location_name
COUNTRY ROAD,41,STREET
CRAWLSPACE,43,MISC INSIDE
DALE COOPER'S HOTEL ROOM,5,GREAT NORTHERN
DALE COOPER'S ROOM,5,GREAT NORTHERN
DEAD DOG FARM,21,DEAD DOG FARM
DEAD DOG FARM BLUFF,21,DEAD DOG FARM
DINER,3,DOUBLE R
DINER BOOTH,3,DOUBLE R
DINER KITCHEN,3,DOUBLE R
DONNA HAYWARD'S BEDROOM,11,HAYWARD HOUSE
DOUBLE R,3,DOUBLE R
DOUBLE R DINER,3,DOUBLE R
DOUBLER DINER,3,DOUBLE R
DOUGHNUT SHOP,43,MISC INSIDE
DOWNSTAIRS CORRIDOR,43,MISC INSIDE
DR. JACOBY'S OFFICE,39,DR JACOBY
DR. JACOBYS OFFICE,39,DR JACOBY
EARLE'S CABIN,35,EARLE CABIN
EASTER PARK,44,MISC OUTSIDE
ED HURLEY'S GAS FARM,10,HURLEY HOUSE
ED HURLEY'S HOUSE,10,HURLEY HOUSE
ED HURLEY'S LIVING ROOM,10,HURLEY HOUSE
ED HURLEYS HOUSE,10,HURLEY HOUSE
EVELYN'S GARAGE,13,MARSH ESTATE
EXT. DOUBLE R DINER,3,DOUBLE R
EXT. MARSH ESTATE,13,MARSH ESTATE
EXT. WOODS,22,WOODS
FIRING RANGE,44,MISC OUTSIDE
GARAGE,43,MISC INSIDE
GARAGE APARTMENT,43,MISC INSIDE
GAS FARM GARAGE,10,HURLEY HOUSE
GAZEBO,44,MISC OUTSIDE
GLASTONBURY GROVE,30,GLASTONBURY GROVE
GREAT NORTHERN,5,GREAT NORTHERN
GREAT NORTHERN BAR,5,GREAT NORTHERN
GREAT NORTHERN BAR AREA,5,GREAT NORTHERN
GREAT NORTHERN BAR WEDDING RECEPTION,5,GREAT NORTHERN
GREAT NORTHERN COOPER'S ROOM,5,GREAT NORTHERN
GREAT NORTHERN CORRIDOR,5,GREAT NORTHERN
